Author,Title,Year,Source title,Citation count,Abstract,Indexed keywords,Correspondence address,Publisher,document type,Source,Duplicate records,Full text unavailable,Inconsistent terminologies,Non-research papers,Not related to MBSE,No AI technologies,MBSE is not augmented by AI,Theoretical studies
Ben K.; Feng Z.; Cao Y.,Exploration and practice of intelligent manufacturing of electronic information equipment,2020,IOP Conference Series: Materials Science and Engineering,4,"At present, the global manufacturing industry is accelerating towards the era of digitalization, networking and intelligence. Aiming at the manufacturing characteristics of electronic information equipment, such as the integration of scientific research and production, multi variety and small batch, fast renewal, high coupling of multi disciplines, and huge supply chain, this paper studies and analyzes the technical hotspots of intelligent manufacturing of electronic information equipment, such as 3D printing of mechatronic system structures, design and manufacturing of microsystem, immersive virtual assembly and digital twin. At the same time, based on the guiding ideology of Model-Based Systems Engineering (MBSE), the exploration and practice of electronic information equipment design mode, production mode, support mode and management mode are carried out. The research shows that the application of new technology and mode of intelligent manufacturing effectively shortens the development cycle of electronic information equipment, greatly improves the production efficiency and comprehensive utilization of resources, and significantly reduces the operating cost and the rate of defective products. ? Published under licence by IOP Publishing Ltd.",\,"K. Ben; Nanjing Research Institute of Electronic Technology, Nanjing, 210039, China; email: BenKeCun@163.com",Institute of Physics Publishing,Conference paper,Scopus,,,,,,,1,
Guariniello C.; Marsh T.B.; Porter R.; Crumbly C.; Delaurentis D.A.,Artificial Intelligence Agents to Support Data Mining for SoS Modeling of Space Systems Design,2020,IEEE Aerospace Conference Proceedings,9,"The complex and multidisciplinary nature of space systems and mission architectures is especially evident in early stage of design and architecting, where systems stakeholders have to keep into account all the aspects of a project, including alternatives, cost, risk, and schedule and evaluate various potentially conflicting metrics with a high level of uncertainty. Though aerospace engineering is a relatively young discipline, stakeholders in the field can rely on a vast body of knowledge and good practices for space systems design and architecting of space missions. These guidelines have been identified and refined over the years. However, the increase in size and complexity of applications in the aerospace discipline highlighted some gaps in this approach: first, the amount of available information is now very large and originates from multiple sources, often with diverse representations, and useful data for trade space analysis or analysis of all potential alternatives can be easily overlooked; second, the variety and complexity of the systems involved and of the different domains to be kept into account can generate unexpected interactions that cannot be easily identified; third, continuous advancements in the field of aerospace resulted in the development of new approaches and methodologies, for which a common knowledge database is not existing yet, thus requiring substantial effort upfront. To address these gaps and support both decision making in early stage of space systems design and increased automation in extraction of necessary data to feed working groups and analytical methodologies, we propose the training and use of Artificial Intelligence agents. These agents can be trained to recognize not only information coming from standardized representations, for example Model Based Systems Engineering diagrams, but also descriptions of systems and functionalities in plain English. This capability allows each agent to quantify the relevance of publications and documents to the query for which it is trained. At the same time, each agent can recognize potentially useful information in documents which are only loosely connected to the systems or functionalities on which the agent has been trained, and which would possibly be overlooked in a traditional literature review. The search for pertinent sources can be further refined using keywords, that let the user specify more details about the systems or functionality of interest, based on the intended use of the data. In this work we illustrate the use of Artificial Intelligent agents to sort space habitat subsystems into NASA Technology Roadmaps categories and to identify relevant sources of data for these subsystems. We demonstrate how the agents can support the retrieval of complex information required to feed existing System-of-Systems analytic tools and discuss challenges of this approach and future steps. ? 2020 IEEE.",Aerospace engineering; Artificial intelligence; Decision making; Intelligent agents; NASA; Query processing; Search engines; Space applications; System of systems; Systems analysis; Analytical methodology; Artificial intelligence agent; Artificial intelligent; Complex information; Different domains; Literature reviews; Mission architectures; Model-based systems engineering; Data mining,,IEEE Computer Society,Conference paper,Scopus,,,,,,,,
Ballard M.; Peak R.; Cimtalay S.; Mavris D.,Bidirectional Text-to-Model Element Requirement Transformation,2020,IEEE Aerospace Conference Proceedings,6,"Elicitation, representation, and analysis of requirements are important tasks performed early in the systems engineering process. This remains true with the adoption of Model-Based Systems Engineering (MBSE) methodologies. Existing SysML-based methodologies often choose between (i) using external requirements documents and/or databases as the authoritative source for requirements truth versus (ii) generating requirements directly, as elements in the system model. In either case, there is often need for the systems engineer to manually develop a model-based requirements representation, as this faculty is not automatic in the commonly-used SysML feature set. Additionally, once the system model has been completed, systems engineers typically must prepare traditional 'shall-statement' requirements for external review purposes, as not all stakeholders can be expected to be trained in system model interpretation. This paper details a novel effort to address both problems, by automatically transforming text-based requirements (TBR) into SysML model-based requirement (MBR) representations, and vice versa. The text-to-model based transformation direction uses requirement templates and natural language processing techniques, expanding on work from the field of requirements engineering. This paper also presents an aerospace-domain case study application of the developed tool. In the case study, a selected set of requirements were analyzed, and a system model was constructed. Then, the intermediate output system model was updated with additional elements, to represent the progression of the project's systems engineering process. The modified system model was then analyzed, constructing text-based requirements from the structure. The resulting text-based requirements were compared to the initial set of input requirements to assess consistency in both directions of analysis. The methodology developed in this paper improves the systems engineering process by saving the systems engineer time constructing potentially repetitive model elements, and by enabling model-based requirement analyses to methodologies previously only capable of processing text-based requirements. Further, the methodology eases the responsibility of the systems engineer to maintain a copy of the model-based requirements in text-based format. ? 2020 IEEE.",Engineers; Natural language processing systems; Systems engineering; Aerospace domain; Model based transformations; Model-based requirements; Model-based systems engineering (MBSE); NAtural language processing; Requirements document; System modeling; Systems engineering process; Engineering education,,IEEE Computer Society,Conference paper,Scopus,,,,,,,,
Barosan I.; Basmenj A.A.; Chouhan S.G.R.; Manrique D.,Development of a virtual simulation environment and a digital twin of an autonomous driving truck for a distribution center,2020,Communications in Computer and Information Science,15,"This paper presents the development of a Virtual Simulation Environment (VSE) and a Digital Twin (DT) of an autonomously driving truck for a distribution center. While autonomous driving on public roads still faces various technical and legal challenges, within a distribution center, which is a confined area, some of these restrictions do not apply. Therefore, distribution centers can be the first environment where the autonomous driving of trucks is possible. A distribution center is a closed environment with no, or minimal generic traffic, where the trucks have relatively low speeds, short stopping distance and layout precisely known. Dedicated sensors locate the trucks. This paper addresses the mentioned aspects of driving in the distribution centers describing the necessary steps taken for the design, implementation, and testing of a VSE for a distribution center, and a DT of an autonomously driving truck. The development of the VSE is based on the integration of a SysML modeling tool 每 IBM Rhapsody, MATLAB Simulink, and Unity Game Engine using a Model-Based System Engineering approach. The paper also presents the test and the validation of a driving scenario used in a distribution center, using the TruckLab setup of the Eindhoven University of Technology, The Netherlands. The VSE and the DT showed considerable potential as testing and validation tools for automotive engineers, making it possible to define driving test scenarios for different types of tractor and trailer combinations. ? Springer Nature Switzerland AG 2020.",Automobiles; Digital twin; MATLAB; Software architecture; Trucks; Warehouses; Autonomous driving; Closed environment; Distribution centers; Eindhoven University of Technology; MATLAB\ SIMULINK; Model-based system engineerings; Stopping distance; Virtual simulation environments; Autonomous vehicles,"I. Barosan; Eindhoven University of Technology, Eindhoven, Netherlands; email: i.barosan@tue.nl",Springer Science and Business Media Deutschland GmbH,Conference paper,Scopus,,,,,,,1,
Omole O.; Kwasa B.; Corns S.M.; Fahrenholtz E.,A model-based systems engineering approach to trade space exploration of virtual reality training systems,2020,"ASEM 41st International Annual Conference Proceedings ""Leading Organizations through Uncertain Times""",0,"The requirements for performance of VR systems vary for different application domains. Likewise, there are various technological options to achieve each of the requirements. Therefore, an early evaluation to determine optimal configuration of VR systems based on domain specific requirements for simulations and interactions is of immense value. In this paper, the authors have demonstrated the use of systems engineering, particularly Model-Based Systems Engineering (MBSE), to describe a complex decision space in Virtual Reality development. Further, the authors then employed a descriptive decision analysis framework to identify suitable configurations to enable VR development. MBSE is used to develop descriptive models to specify needs of the application domain, requirements of the VR system and to define the system architecture 每 functional and physical. This will serve to demonstrate how MBSE can be used to generate information to improve decision making for VR designers as well as engineering managers and decision makers. VR application in emergency response training is the exemplary case considered in this paper. Copyright, American Society for Engineering Management, 2020.",Decision making; E-learning; Space research; Systems engineering; Analysis frameworks; Emergency response; Engineering managers; Model-based systems engineering; Model-based systems engineering (MBSE); System architectures; Trade space explorations; Virtual reality training; Virtual reality,"O. Omole; Missouri University of Science and Technology, United States; email: oao8xf@mst.edu",American Society for Engineering Management,Conference paper,Scopus,,,,,,,1,
Laukotka F.; Seiler F.; Krause D.,MBSE as a databasis to support configuration systems and digital twins of modular product families,2020,"Proceedings of the 31st Symposium Design for X, DFX 2020",5,"Today more products are developed in the form of modular productfamilies with similar, but slightly different product variants. To improve the development process but also the use and lifespanning service of product families and individual products the usage of MBSE has been an uprising trend. Using system models implicate another benefit: The stored information can be accessed by applications and be used to improve the userinteraction. One example are product configurators allowing the user to create a product variant according to individual requirements. This link to the product family's information can also be used in later lifecycle phases, as it enables an ongoing information flow about existing products into a digital representation, preparing the development and use of digital twins. ? Proceedings of the 31st Symposium Design for X, DFX 2020. All rights reserved.",Digital twin; Configuration system; Development process; Digital representations; Information flows; Modular product families; Product families; Product variants; System models; Life cycle,"F. Laukotka; Technische Universit?t Hamburg, Institut for Produktentwicklung und Konstruktionstechnik, Hamburg, Denickestrabe 17, 21271, Germany; email: fabian.laukotka@tuhh.de",The Design Society,Conference paper,Scopus,,,,,,,1,
Van Mierlo S.; Oakes B.J.; Van Acker B.; Eslampanah R.; Denil J.; Vangheluwe H.,Exploring Validity Frames in Practice,2020,Communications in Computer and Information Science,16,"Model-Based Systems Engineering (MBSE) provides workflows, methods, techniques and tools for optimal simulation-based design and realization of complex Software-Intensive, Cyber-Physical Systems. One of the key benefits of this approach is that the behavior of the realized system can be reasoned about and predicted in-silico, before any prototype has been developed. Design models are increasingly used after the system has been realized as well. For example, a (design) digital twin can be used for runtime monitoring to detect and diagnose discrepancies between the simulated and realized system. Inconsistencies may arise, however, because models were used at design time that are not valid within the operating context of the realized system. It is often left to the domain expert to ensure that the models used are valid with respect to their realized counterpart. Due to system complexity and automated Design-Space Exploration (DSE), it is increasingly difficult for a human to reason about model validity. We propose validity frames as an explicit model of the contexts in which a model is a valid representation of a system to rule out invalid designs at design time. We explain the essential and conceptual, yet practical, structure of validity frames and a process for building them using an electrical resistor in the optimal design of a high-pass filter as a running example. We indicate how validity frames can be used in a DSE process, as well as for runtime monitoring. ? 2020, Springer Nature Switzerland AG.",Computer software; Digital twin; Embedded systems; Structural design; Automated design; Complex software; Explicit modeling; Model-based systems engineering (MBSE); Runtime Monitoring; Simulation-based designs; System complexity; Techniques and tools; High pass filters,"S. Van Mierlo; University of Antwerp - Flanders Make vzw, Antwerp, Belgium; email: simon.vanmierlo@uantwerpen.be",Springer Science and Business Media Deutschland GmbH,Conference paper,Scopus,,,,,,1,,
Reid J.B.; Wood D.R.,"Interactive model for assessing mangrove health, ecosystem services, policy consequences, and satellite design in Rio de Janeiro using earth observation data",2020,"Proceedings of the International Astronautical Congress, IAC",4,"There is an increasing need for tools to translate earth observation data into societally relevant metrics to inform human decision-making. To address this need, we present a multi-disciplinary, interactive modeling framework to advance ecological forecasting and policymaking using earth observation data. The Environment-Vulnerability-Decision-Technology (EVDT) Modeling Framework will integrate four models into one tool that can be adapted to specific applications; the four models address the following: earth science models of the Environment: Human Vulnerability and Societal Impact; Human Behavior and Decision-Making; and Technology Design for earth observation systems including satellites, airborne platforms and in-situ sensors The capabilities provided by this framework will improve the management of earth observation and socioeconomic data in a format usable by non-experts, while harnessing cloud computing, machine learning, economic analysis, complex systems modeling, and model-based systems engineering. This paper presents a prototype that demonstrates the viability of the framework via a case study: the mangrove forests in the Guaratiba area of Rio de Janeiro. These mangroves are vulnerable due to urbanization and rising sea levels. They provide a variety of ecosystem services, including serving as a mechanism for carbon sequestration, supporting subsistence fishing, preventing coastal erosion, and attracting an ecotourism industry. The case study of mangrove and community health in Rio de Janeiro demonstrates all four model components. The Environment Model builds upon work by biospheric scientists Fatoyinbo and Lagomasino to use earth observation data, cloud computing, and machine learning to track mangrove extent, health, and vulnerability over time for a 600 km2 area, as well as work by the ESPA?O research group at the Federal University of Rio de Janeiro on the local mangrove ecosystem. To build the Human Vulnerability and Societal Impact Model, we are collaborating with ecosystem services economist Suhyun Jung to explain how policies impact mangrove health and how mangroves impact socioeconomic wellbeing. To create the Human Decision Making Model, we have partnered with the Pereira Passos Institute (the data science office of the Rio de Janeiro municipal government) to understand the policy history and socioeconomic factors. The Technology Model accounts for the types of data collection used by policy makers since 1975. Through such collaborations, we are able to build an integrated, interactive decision support tool that policymakers can use to assess mangrove health, ecosystem services value, and policy consequences. The model helps answer such questions as: (a) What is the state of the mangroves over time? (b) How are human communities impacting the mangroves? (c) what is the value of the mangrove ecosystem services to human communities? and (d) what policies can improve human and mangrove outcomes? This case study is demonstrative of the viability of a similar approach for ecosystems around the world. Copyright ? 2020 by the International Astronautical Federation (IAF). All rights reserved.",Behavioral research; Cloud computing; Data Science; Decision making; Decision support systems; Economic analysis; Ecosystems; Engineering education; Engineering research; Forestry; Health; Information management; Machine learning; Observatories; Sea level; Service industry; Decision support tools; Earth observation data; Earth observation systems; Ecological forecasting; Ecosystem services value; Human decision-making model; Model-based systems engineering; Socio-economic factor; Economic and social effects,"J.B. Reid; Program in Media Arts and Sciences, Massachusetts Institute of Technology, Cambridge, 77 Massachusetts Avenue, 02139, United States; email: jackreid@mit.edu","International Astronautical Federation, IAF",Conference paper,Scopus,,,,,,,1,
Pickering N.; Duke M.; Lim S.H.,A time constrained System of Systems discovery process and canvas. A case study in agriculture technology focusing on an automated Asparagus Harvester.,2020,"SOSE 2020 - IEEE 15th International Conference of System of Systems Engineering, Proceedings",0,"Agriculture is facing a period of unprecedented change resulting from the requirement to feed c. 10 billion mouths by 2050, while operating in a challenging business environment with increasing sustainability and consumer expectations. To meet these challenges many are looking to industry 4.0 technology as a solution, specifically the combination of Artificial Intelligence (AI) and in-field robotics. Although there have been successful prototypes from a functional perspective and promising start-ups, the complex nature of the agriculture system of systems creates a significant risk of mass adoption failure. The main risk stems from the majority of the hundreds of products being designed in isolation using closed hardware and software systems that are all aiming to serve the one farmer or grower. The current silo'd technology adoption approach is heading towards problems with usability, availability, viability, interoperability and adaptability. This paper proposes a new time constrained System of Systems (SoS) discovery process and supporting SoS Canvas, developed with the objective of increasing the adoption of SoS principles with non-technical stakeholders. The time constrained SoS discovery process consists of raising awareness, capturing data, modelling the SoS, modelling the System of Interest (SoI) and providing recommendations, often based on common challenges and opportunities from the SoS Canvas. The outcome of this initial case study prototyping the process, is a set of SysML diagrams demonstrating how the constituent systems currently contribute to emergent properties and recommendations to improve both the SoI and the SoS. Future research will focus on interoperability within agricultural technology (Agritech) and the potential for a SoS level digital twin, providing the capability to manage and optimise emergent properties for the betterment of all. ? 2020 IEEE.",Agricultural robots; Agriculture; Artificial intelligence; Digital twin; Harvesters; Interoperability; Sustainable development; Agricultural technologies; Agriculture systems; Agriculture technology; Business environments; Consumer expectations; Hardware and software; Technical stakeholders; Time-constrained systems; System of systems,,Institute of Electrical and Electronics Engineers Inc.,Conference paper,Scopus,,,,,,1,,
Bricher D.; M邦ller A.,A supervised machine learning approach for intelligent process automation in container logistics,2020,Journal of Computing and Information Science in Engineering,13,"Process control in manufacturing industries usually lacks flexibility and adaptability. The process planning is traditionally pursued within the production scheduling and then remains unchanged until a major overhaul is necessary. Consequently, no process knowledge acquired by the machine operators is used to adapt, and thus improve, the process control. In this paper, a fully automated process control solution for container logistics is proposed, which is based on deep neural networks and has been trained from process steering decisions made by employees. Further, a fully automated framework for the labeling of container images is introduced, making use of inherent properties of the logistic process. This allows to automatically generate data sets without the need for manual labeling by an operator.  ? 2020 by ASME.",Automation; Containers; Deep learning; Deep neural networks; Production control; Supervised learning; Container logistics; Intelligent process automation; Machine operators; Manufacturing industries; Process knowledge; Production Scheduling; Steering decisions; Supervised machine learning; Process control,,American Society of Mechanical Engineers (ASME),Article,Scopus,,,,,1,,,
Giantamidis G.; Papanikolaou G.; Miranda M.; Salinas-Hernando G.; Valverde-Alcal芍 J.; Veluru S.; Basagiannis S.,ReForm: A Tool for Rapid Requirements Formalization,2020,Electronic Communications of the EASST,1,"Formal methods practices can sometimes be challenging to adopt in industrial environments. On the other hand, the need for formalization and verification in the design of complex systems is now more evident than ever. To the end of easing integration of formal methods in industrial model based system engineering workflows, UTRC Ireland has developed a tool aiming to render requirements formalization as effortless as possible to the industrial engineer. The developed approach is an end-to-end solution, starting with natural language requirements as input and going all the way down to auto-generated monitors in MATLAB / Simulink. We employ natural language processing and machine learning techniques for (semi-)automatic pattern extraction from requirements, which drastically reduces the required formalization workload for both legacy and new requirements. For monitor generation, we provide our own approach which outperforms existing state-of-the-art tools by orders of magnitude in some cases ? 2020, Electronic Communications of the EASST. All rights reserved.",\,,Universitatsbibliothek TU Berlin,Article,Scopus,,,,,,,,
Xia X.; Liu W.; Zhang Z.; Wang L.,Partial disassembly line balancing problem analysis based on sequence-dependent stochastic mixed-flow,2020,Journal of Computing and Information Science in Engineering,5,"Given the characteristics of decommissioning product diversity, wear difference, and structural complexity, we analyzed the disassembly line balance problems of minimum disassembly workstation, station load balancing, priority disassembly of high-demand parts and the lowest cost of invalid operations, and further considered the influence of random factors on actual disassembly operations. The purpose of this paper is to establish a model of sequence-dependent stochastic mixed-flowed partial disassembly line balancing problem and propose an adaptive hybrid particle swarm genetic algorithm to solve the model. The algorithm replaces the fixed value genetic operator with an adaptive crossover and mutation operator to improve the global optimization ability. The introduction of adaptive weighted particles leads to improved local optimization ability of the algorithm so that the algorithm has strong global and regional optimization ability to improve algorithm accuracy. The effectiveness of the proposed algorithm is verified by solving the classic disassembly line balancing problem with different scales and comparing it with the solution results of underlying genetic and particle swarm optimization algorithm. Meanwhile, the proposed model and algorithm are applied to the mixed-flow disassembly engineering project of a 25-task reducer. The results indicate that the proposed model is superior to the control group in terms of minimal disassembly workstation, station load balancing, invalid operation cost, and overall performance of the disassembly line, which verifies the validity of the model. Copyright ? 2020 by ASME",Balancing; Global optimization; Particle swarm optimization (PSO); Stochastic models; Stochastic systems; Algorithm accuracies; Disassembly line balancing; Disassembly operations; Engineering project; Model and algorithms; Optimization ability; Particle swarm optimization algorithm; Structural complexity; Genetic algorithms,"L. Wang; Key Laboratory of Metallurgical Equipment and Control Technology, Wuhan University of Science and Technology, Wuhan, 430081, China; email: wanglei1987@wust.edu.cn",American Society of Mechanical Engineers (ASME),Article,Scopus,,,1,,,,,
Nanbo X.,Realization of MATLAB Model Callaborative Simulation in Hopsan Environment based on Hopsan Framework,2020,Journal of Physics: Conference Series,0,"The design and simulation process of complex system is accelerated because of the general application of model-based system engineering method in industry. But new challenges arise along with it, such as joint simulation of multi-physical-domain models. Only by considering the coupling relationship among the physical domains, especially the Cyber-physical systems (CPS), can the simulation result be more consistent with the actual system so that can provide guidance for product design and manufacturing. Heterogeneous model is the key to solve the problem of multi-physical-domain coupling simulation [1]. Using tools integration[2] and semantic integration[3] are two mainly ways. Although the literature points out that using tools integration is challenging, the advantages of open source software integration at the source level make it possible for Hopsan software to realize joint simulation of heterogeneous models. This paper describes how to inherit a new one from the component class of Hopsan to realize the functions of second encapsulation of MATLAB model in the current Hopsan environment, the block diagram representation in the simulation schematic diagram, model scheduling in the simulation process, data input, output processing and data transmission, etc. ? Published under licence by IOP Publishing Ltd.",Artificial intelligence; Computer aided software engineering; Data encapsulation; Data handling; Embedded systems; Integration; Open source software; Open systems; Product design; Schematic diagrams; Semantics; Coupling relationships; Cyber-physical systems (CPS); Design and simulation; General applications; Heterogeneous modeling; Heterogeneous models; Model-based system engineerings; Semantic integration; MATLAB,"X. Nanbo; Flight Physics Department, Shanghai Aircraft Design and Research Institute, China; email: xunanbo@comac.cc",Institute of Physics Publishing,Conference paper,Scopus,,,,,,1,,
Bordeleau F.; Combemale B.; Eramo R.; van den Brand M.; Wimmer M.,Towards Model-Driven Digital Twin Engineering: Current Opportunities and Future Challenges,2020,Communications in Computer and Information Science,63,"Digital Twins have emerged since the beginning of this millennium to better support the management of systems based on (real-time) data collected in different parts of the operating systems. Digital Twins have been successfully used in many application domains, and thus, are considered as an important aspect of Model-Based Systems Engineering (MBSE). However, their development, maintenance, and evolution still face major challenges, in particular: (i) the management of heterogeneous models from different disciplines, (ii) the bi-directional synchronization of digital twins and the actual systems, and (iii) the support for collaborative development throughout the complete life-cycle. In the last decades, the Model-Driven Engineering (MDE) community has investigated these challenges in the context of software systems. Now the question arises, which results may be applicable for digital twin engineering as well. In this paper, we identify various MDE techniques and technologies which may contribute to tackle the three mentioned digital twin challenges as well as outline a set of open MDE research challenges that need to be addressed in order to move towards a digital twin engineering discipline. ? 2020, Springer Nature Switzerland AG.",Digital twin; Life cycle; Real time systems; Collaborative development; Engineering disciplines; Future challenges; Heterogeneous models; Model-based systems engineering (MBSE); Model-driven Engineering; Research challenges; Software systems; Information management,"R. Eramo; University of L＊Aquila, L＊Aquila, Italy; email: romina.eramo@univaq.it",Springer Science and Business Media Deutschland GmbH,Conference paper,Scopus,,,,1,,,,
Filho A.C.J.; Ferreira M.G.V.; Ambrosio A.M.,A proposal an innovative framework for the conception of the ground segment of space systems,2020,"Proceedings of the International Astronautical Congress, IAC",1,"An increasing number of space missions - which include the classes of Scientific, Earth Observation, Geostationary, and Educational - drives the search for solutions lined up between space and the ground segments. Space agencies, such as: CNES, DLR, ESA, ESOC, INPE, JAXA and NASA, stimulate initiatives and the development of projects aimed at efficiency and cost reduction of missions. The classes of satellites and spacecraft have requirements that, classically, determine the design and development of the mission; these requirements currently cover definitions, such as communication protocols, uplink and downlink rates, onboard processing and remote reconfiguration of service and payload modules, and direct new modes (models) of controlling and operations that are requested from the ground segment. Among the activities for designing systemic solutions to attend a space mission, the ground segment has a significant number of questions to be answered in order to meet cost and operability requirements and reach a successful mission. From the perspective of the ground segment, it is essential to demonstrate the innovation of concepts that are required of systems due to the increase in volume and kind of data (Big Data), and their processes, for example, machine learning and artificial intelligence; and also of the utilization of communication protocols, and onboard processing. These concepts include the development of projects and the operation of missions and must be implemented according to the guidelines of the European Cooperation for Space Standardization (ECSS) and National Aeronautics and Space Administration (NASA), in the area of systems engineering, as well as meeting the recommendations of the Consultative Committee for Space Data Systems (CCSDS), such as: Management Services for Data Transfer, Space Link Extension (SLE) Protocol Services for Cross Support and Interoperability. This paper presents a proposal an innovative Framework for Conception of the Ground Segment of Space Systems that allows supporting to the design of space systems solutions, in the perspective of the Ground Segment, improving and standardizing the procedures to systems engineering, establishing methodologies for the optimization of development, management, and implementation of the Ground Segment projects and their interaction with the Space Segment. The proposed Framework will allow the proposition, the conception and the specification of requirements for the ground segment that should collaborate to define requirements for the architecture of space systems and to ensure the fulfillment of mission objectives with efficiency and cost reduction. The possible contributions of the framework and suggestions for future works are also presented in the paper. Copyright ? 2020 by the International Astronautical Federation (IAF). All rights reserved.",Aerospace engineering; Artificial intelligence; Communication satellites; Cost reduction; Data communication systems; Data transfer; Digital storage; Earth (planet); Efficiency; Geostationary satellites; International cooperation; Interoperability; NASA; Space flight; Systems engineering; Consultative committee for space data systems; Design and Development; Earth observations; European cooperation for space standardizations; Management service; On-board processing; Remote reconfiguration; Space-link extension; Information management,"A.C.J. Filho; National Institute for Space Research (INPE), S?o Jos谷 dos Campos, S. Paulo, Av. dos Astronautas, 1758, Brazil; email: cassiano.filho@inpe.br","International Astronautical Federation, IAF",Conference paper,Scopus,,,,,,,,1
Lutfi M.; Valerdi R.,Virtual Reality in Model Based Systems Engineering: A Review Paper,2020,Communications in Computer and Information Science,1,"Model Based Systems Engineering (MBSE) thrived in the recent decades in order to overcome the increasing complexity within systems. MBSE envisioned replacing document centric systems engineering by model centric systems engineering. MBSE can handle systems complexity efficiently by representing each entity in the model only once and generating different viewpoints. Most commonly used MBSE language is the ※Systems Modeling Language (SysML)§. Virtual Reality can play a bigger role on creating truly model centric systems engineering approaches. The core application of MBSE approach implies utilization of a single system model, which will act as ※source of truth§ to all embedded system analyzing tools. Thus, the system model can communicate back and forth with Virtual Reality Environment to analyze the system performance. Systems engineer can conduct interactive immersive simulation of a scenario described in the system model and return the results obtained from the Virtual Reality Environment to the system model. Requirements analysis can be performed more efficiently by ensuring participation of the customers early in the product lifecycle utilizing the VR environment. A customer can walk into VR environment and see how the system design would look like and interact with it. Based on the interaction results, the systems engineer can modify the product/service specifications and design. This paper reviewed the works been done to incorporate virtual reality environment with SysML. The paper also proposed a framework on how VR environment can be implemented with SysML to perform true MBSE practice. ? 2020, Springer Nature Switzerland AG.",Human computer interaction; Life cycle; Modeling languages; Product design; Systems engineering; Model-based systems engineering; Model-based systems engineering (MBSE); Product-life-cycle; Requirements analysis; System modeling; Systems complexity; Systems modeling languages; Virtual-reality environment; Virtual reality,"M. Lutfi; Department of Systems and Industrial Engineering, The University of Arizona, Tucson, 85721, United States; email: mostafalutfi@email.arizona.edu",Springer Science and Business Media Deutschland GmbH,Conference paper,Scopus,,,,1,,,,
Salehi V.; Taha J.; Wang S.,Application of munich agile concept for mbse by means of automated valet parking functions and the 3D environment-data,2020,Proceedings of the ASME Design Engineering Technical Conference,2,"In today's complex world of development of functions for automating Driving Systems (ADS), methods, tools, systems and new approaches are necessary for a seamless application. Furthermore, it is important to apply new technics of simulation and visualization (Digital Twin) for the new ADS functions. To prototype and to test these functions in a physical manner is not only a costly and complex effort but also encounters legal and bureaucratic obstacles. The importance of simulation is very high. For that reason, this paper and corresponding research project will develop a consistent traceable System Engineering approach of autonomous driving functions and its environment based on Munich Agile Concept for Model-Based-Systems-Engineering (MBSE). MBSE is based on three important core pillar which is 1) Methods/Processes, 2) Language and 3) Systems. The purpose of the new developed Munich Agile Concept Approach is to handle the complexity over the entire ADS feature development from the system requirement definition process up to the test and validation of the system. The Munich Agile Concept contains six different levels which are System Requirement-, System Functional-, System Architecture-, System Validation-, System Test and the System-Usage-Level. For defining the first three-level, a graphical language called System Modelling Language (SysML) has been applied. Copyright ? 2020 ASME",Design; Digital twin; Modeling languages; Requirements engineering; Systems engineering; Autonomous driving; Graphical languages; Model-based systems engineering (MBSE); Parking functions; Simulation and visualizations; System architectures; System requirements; System validation; Agile manufacturing systems,"V. Salehi; Department of Applied Sciences and Mechatronics, Munich University of Applied Science, Munich, Germany; email: Salehi-d@hm.edu",American Society of Mechanical Engineers (ASME),Conference paper,Scopus,,,,,,,1,
Lebeaupin B.; Rauzy A.,Toward a better integration of requirements and model-based specifications,2020,Systems Engineering,4,"As of today, most specifications of technical systems still rely on requirements written in natural language. However, this approach is known to be problem-prone, due to the inherent ambiguity of natural languages. On the other hand, fully formal or model-based approaches seem to be out of reach in many practical cases, especially in early design phases of systems. In this article, we study how to combine in a pragmatic way natural language requirements with models. We propose to keep both formats and to link pieces of text in requirements with elements of models. In other words, corpuses of requirements are managed as hypertexts with links to models. For this approach to be fully efficient, the text of requirements is not free, but relies on controlled natural language techniques leading to a partial structuring of the text. We show that this makes it possible to design (semi)automatic verifications on requirements and models, which would be impossible with unconstrained natural language. We illustrate here our approach on a small illustrative example and we report results obtained on a full size industrial?application. ? 2020 Wiley Periodicals LLC",Hypertext systems; Specifications; Systems engineering; Automatic verification; Controlled natural language; Early design phasis; Model based approach; Model-based specifications; Natural language requirements; Natural languages; Technical systems; Natural language processing systems,"B. Lebeaupin; LGI, CentraleSupelec, Gif-sur-Yvette, France; email: benoit.lebeaupin@gmail.com",John Wiley and Sons Inc,Article,Scopus,,,,,,,,
