Author,Title,Year,Source title,Abstract,Author keywords,Correspondence address,Country,Publisher,Document type,Source,AI technologies,Key technology clusters,AI capabilities,MBSE phases,MBSE activities,MBSE tasks,Application area
Peer J.; Mordecai Y.; Reich Y.,NLP4ReF: Requirements Classification and Forecasting: From Model-Based Design to Large Language Models,2024,IEEE Aerospace Conference Proceedings,"We introduce Natural Language Processing for Requirement Forecasting (NLP4ReF), a model-based machine learning and natural language processing solution for enhancing the Requirements Engineering (RE) process. RE continues to face significant challenges and demands innovative approaches for process efficiency. Traditional RE methods relying on natural language struggle with incomplete, hidden, forgotten, and evolving requirements during and after the critical design review, risking project failures and setbacks. NLP4ReF tackles several key challenges: a) distinguishing between functional and non-functional requirements, b) classification of requirements by their respective system classes, and c) generation of unanticipated requirements to enhance project success. NLP4ReF employs a common natural language toolkit (NLTK) package and the recently-trending Chat-GPT. We tested NLP4ReF on PROMISE_exp, a pre-existing dataset with 1000 software requirements, and PROMISE_IoT, an enhanced dataset with 2000 software and IoT requirements. We validated NLP4ReF on a genuine IoT project. NLP4ReF swiftly generated dozens of new requirements, verified by a team of systems engineers, of which over 70% were crucial for project success. We found that GPT is superior in authentic requirement generation, while NLTK excels at requirement classification. NLP4ReF offers significant time saving, effort reduction, and improved future-proofing. Our model-based design approach provides a foundation for enhanced RE practices and future research in this domain. ? 2024 IEEE.",Internet of Things; Machine Learning; MBSE; NLP; Requirements Engineering; Requirement Forecasting,"J. Peer; Tel Aviv University, Faculty of Engineering, Tel-Aviv, Israel; email: JordanPeer@mail.tau.ac.il",Israel,IEEE,Conference paper,Scopus,LLM+NLP,Generative AI,Content generation,Requirement analysis and management,Requirements Organization,Requirements classification,Other£¨IoT£©
Ko T.; Shrestha R.; Lee J.,Pro-Active Allocation of Project Requirements through Natural Language Processing (NLP) and Project Information System Integration,2024,Construction Research Congress,"Effective project requirement management is one of the significant tasks for the success of project planning and execution in complicated and dynamic construction environments. For improved requirement management, it is recommended to identify and allocate project requirements at an early stage prior to construction for appropriate project progress monitoring and control with little effort and cost. Current requirement allocation practices rely heavily on time-consuming and error-prone manual processes due to a sheer volume of free-formatted project documents and the necessity of practitioners' judgment based on their experience and expertise. This paper aims to propose a systematic approach to assigning and clarifying project requirements to appropriate project parties. The proposed approach employs natural language processing (NLP) technique to automatically assign project requirements to responsible project parties. The allocated requirements are then incorporated into project geographical information system to present associated project requirements along with geo-spatial information. By integrating the information system with classified project requirements through NLP techniques, pro-active requirement allocation will further facilitate both managing of a variety of requirements and the real-time dissemination of them to all project parties. ? 2024 ASCE.",\,"J. Lee; Dept. of Civil and Environmental Engineering and Construction, Univ. of Nevada, Las Vegas, United States; email: jeehee.lee@unlv.edu",United States,American Society of Civil Engineers (ASCE),Conference paper,Scopus,NLP,Data-driven,Classification and prediction,Requirement analysis and management,Requirements Organization,Requirements classification,Construction
Mullis J.; Chen C.; Morkos B.; Ferguson S.,Deep Neural Networks in Natural Language Processing for Classifying Requirements by Origin and Functionality: An Application of BERT in System Requirements,2024,Journal of Mechanical Design,"Given the foundational role of system requirements in design projects, designers can benefit from classifying, comparing, and observing connections between requirements. Manually undertaking these processes, however, can be laborious and time-consuming. Previous studies have employed Bidirectional Encoder Representations from Transformers (BERT), a state-of-the-art natural language processing (NLP) deep neural network model, to automatically analyze written requirements. Yet, it remains unclear whether BERT can sufficiently capture the nuances that differentiate requirements between and within design documents. This work evaluates BERT's performance on two requirement classification tasks (one inter- document and one intra-document) executed on a corpus of 1,303 requirements sourced from five system design projects. First, in the ""parent document classification""task, a BERT model is fine-tuned to classify requirements according to their originating project. A separate BERT model is then fine-tuned on a ""functional classification""task where each requirement is classified as either functional or nonfunctional. Our results also include a comparison with a baseline model, Word2Vec, and demonstrate that our model achieves higher classification accuracy. When evaluated on test sets, the former model receives a Matthews correlation coefficient (MCC) of 0.95, while the latter receives an MCC of 0.82, indicating BERT's ability to reliably distinguish requirements. This work then explores the application of BERT's representations, known as embeddings, to identify similar requirements and predict requirement change.  ? 2023 by ASME.",BERT; design automation; NLP; requirements classification; requirements management,"B. Morkos; College of Engineering, University of Georgia, 302 East Campus Road, Athens, 30602, United States; email: bmorkos@uga.edu",United States,American Society of Mechanical Engineers (ASME),Article,Scopus,NLP,Data-driven,Classification and prediction,Requirement analysis and management,Requirements Organization,Requirements classification,Industry
J¨²nior F.S.; Reis P.A.; Cavalcante M.S.; De Oliveira A.H.M.,Systems Engineering Process Enhancement: Requirements Verification Methodology using Natural Language Processing (NLP) for Automotive Industry,2024,SAE Technical Papers,"More sophisticated vehicle features to improve user experience and safety in the Automotive Industry applications have significantly increased the number of Electronic Control Units (ECUs) over the years. These changes were followed by the increased complexity in technical solutions for Embedded Software and interfaces among the ECUs. In this context, Systems Engineering (SE) plays a key role to achieve robustness on definition and implementation of complex systems. The overall system is broken down into lower functions associated to a specific use case, considering user's input and the expected outputs, in three different abstraction levels - Concept, Logic and Technology. Those functions are described with structure and behavior diagrams and requirements using SysML (Systems Modelling Language), which enables the entire system simulation and validation before being cascaded to ECUs Software implementation team during the Product Development process through Model-Based Systems Engineering (MBSE) tools. On this scope, the requirements have a vital role inside Systems Engineering methodology because it is the statement which defines the system required functionalities, performance, constraints, and other characteristics that satisfy stakeholders and costumers needs. The SysML diagrams are built based on the defined system requirements and many times this is a very iterative process, time-consuming and error-prone task until satisfying every required function logic and conditions. When the requirements are poorly defined, these can lead to project failure. Therefore, requirements must be unambiguous, verifiable, and traceable through Systems Engineering lifecycle. By using Easy Approach to Requirements Syntax (EARS) template, Systems Engineers have specific words to standardize the requirements, accomplishing with EARS requests such as ""When,""""While,""""Where,""""If""to mention the stimulus or pre-conditions, ""Then""to call the function/product and ""shall""representing the action to be taken. In addition, by using the rules proposed by the International Council on Systems Engineering (INCOSE), Systems Engineers can improve the robustness of the requirement by avoiding, for example, words that may be misinterpreted during the system modeling and development process. In this context, Natural Language Processing (NLP) can be used to improve process flow by automating requirement verification. NLP techniques will be responsible for mapping and processing the text data in the system requirements based on actions, preconditions, functions, and triggers to improve the quality and robustness of the developed requirements. By Applying NLP algorithms, this paper aims to consolidate a more robust methodology to verify the system requirements, based on EARS template and INCOSE rules, prior to SysML diagrams development, which improves the final overall system implementation to satisfy the stakeholders and customer needs.  ? 2021 SAE International.",\,Ford Motor Company Brazil,Brazil,SAE International,Conference paper,Scopus,NLP,Data-driven,Information extraction and structuring,Requirement analysis and management,Requirements Organization,Requirements traceability analysis,Vehicle
"Ghanawi I., Chami M., Chami M., Coric M., Abdoun N.",Integrating AI with MBSE for Data Extraction from Medical Standards,2024,INCOSE International Symposium,"The growing adoption of Model-Based Systems Engineering (MBSE) in the medical sector has prompted a significant emphasis on the digitization of medical standards into norm models. This transformation promotes consistency and allows for tracing system model elements to the corresponding norm model elements. Despite these efforts, the current digitization activities heavily rely on manual extraction and transformation, particularly from PDF documents into SysML models. Concurrently, the proliferation of Artificial Intelligence (AI) applications in recent years presents an opportunity to automate such activities. This paper contributes to the integration of AI with MBSE, focusing solely on the extraction and transformation of medical standards information from documents into SysML norm models. It explores the initial outcomes of augmenting data extraction from medical standards using recent AI algorithms and integrating them into MBSE practices. The evaluation involves two approaches, an open-source multimodal classifier model and a proprietary large language model. The study assesses these approaches on a medical standard and outlines future work, including the exploration of an open-source large language model approach.",MBSE; Artificial intelligence; Digitization; Norm compliance; LLM; Classification,"SysDICE GmbHFranz-Volhard-Str. 568167 Mannheim, Germany",Germany,INCOSE-International Council on Systems Engineering,Conference paper,Wiley,DL+LLM+NLP,Generative AI,Information extraction,System modeling,Model Construction,Model Generation,Other£¨Medical£©
Zhang Q.; Liu J.; Li L.; Chen X.; Wang R.,Automatic generation of system model diagrams driven by multi-source heterogeneous data,2024,Journal of Engineering Design,"The demand for functionality, performance, safety, and reliability in complex product domains is continuously increasing, leading to growing product complexity. Traditional document-based systems engineering approaches face numerous challenges in terms of communication efficiency, traceability, and maintenance when dealing with complex product system design. Consequently, Model-Based Systems Engineering (MBSE) has been widely adopted. To improve the efficiency of system modelling, an effective method is needed to automate the process by reusing existing design resources. This study proposes a knowledge graph-based approach for the automatic generation of system model diagrams, consisting of three main steps. Firstly, a system model graph is constructed using an existing system model repository. Then, the required modelling elements are extracted from design documents, and reusable model elements are obtained based on the system model graph. Lastly, a mapping relationship is established between system model elements extracted from multi-source heterogeneous data and SysML metamodel, enabling the automatic generation of system model diagrams based on SysML views. This approach effectively leverages the information from the existing system model repository and achieves automated mapping conversion from multi-source heterogeneous data to the SysML system model. A communication satellite case study is presented to demonstrate the capability of this method. ? 2024 Informa UK Limited, trading as Taylor & Francis Group.",automatically generating system model diagrams; knowledge graph; MBSE; multi-source heterogeneous data; system model reuse,"J. Liu; School of Mechanical Engineering and Automation, Beihang University, Beijing, China; email: ryukeiko@buaa.edu.cn",China,Taylor and Francis Ltd.,Article,Scopus,KG+NLP+Ontology,Knowledge-driven,Knowledge reuse and evolution,System modeling,Model Construction,Model Generation,Aerospace£¨Spacecraft£©
Fuchs J.; Helmerich C.; Holland S.,Transforming System Modeling with Declarative Methods and Generative AI,2024,AIAA SciTech Forum and Exposition,"The advancement of fully digital engineering methods hinges on the widespread adoption of model-based system engineering (MBSE) processes, which are essential for effectively managing the escalating complexity of projects. A pivotal aspect of MBSE lies in the creation and utilization of detailed system models that digitally encapsulate project information. However, the current bottleneck in digital engineering primarily stems from the task of model creation. This paper explores the transformative potential of large language models (LLMs) in automating the model creation process within a novel declarative framework. Here, users engage with the system by expressing information or instructions in natural language, presenting a paradigm shift in how models can be created. The paper also presents the tangible impacts of incorporating LLMs on both cost and time factors associated with object creation, content review, and artifact creation. Real-world examples of LLM interactions are provided, offering concrete references to underscore the practical applicability and efficacy of this innovative approach with some tasks seeing a 10x-15x improvement in speed and cost. This research seeks to illuminate the path toward a more streamlined, efficient, and automated future for digital engineering, ushered in by the fusion of MBSE and the capabilities of LLMs. ? 2024 by the American Institute of Aeronautics and Astronautics, Inc. All rights reserved.",\,"Celedon Solutions Inc., Madison, AL, 35756",United States,American Institute of Aeronautics and Astronautics (AIAA),Conference paper,Scopus,LLM,Generative AI,Model synthesis and refinement,System modeling,Model Construction,Model Generation,Other
Crabb E.S.; Jones M.T.,Accelerating Model-Based Systems Engineering by Harnessing Generative AI,2024,Annual System of Systems Engineering Conference,"With the rise of artificial intelligence (AI) tools to support the work of numerous disciplines, we describe a preliminary investigation into the benefits and drawbacks of large language model (LLM) use as part of a traditional systems engineering and design workflow. To explore this, we tasked a group of systems engineers to each create a list of requirements and use case diagram to satisfy a systems of systems user scenario presented in a proposal document. Participants created models of a healthcare setting in which clinicians resolved discrepancies with patient care by consulting additional sources of record, demonstrating the importance of integrating new systems within the larger healthcare system of systems. The first group were provided open access to an LLM, the second group were provided draft materials generated by an LLM, and the third followed their normal workflow. A subject matter expert (SME) evaluator then scored each model according to its completeness, consistency, correctness, simplicity, and traceability. Through this, we show that although LLMs are not a replacement for a trained systems engineer, they can contribute in two primary ways to the modeling process: first, they can generate a significant portion of the information necessary to create a minimum viable product (MVP) model within a fraction of the time, offering a promising way to accelerate the overall model development process. Second, they can answer detailed, domain-specific questions and reduce the time spent on external research. ? 2024 IEEE.",generative AI; LLM; MBSE; modeling,"E.S. Crabb; Office of Technology, Reston, Leidos, United States; email: erin.a.smithcrabb@leidos.com",United States,IEEE,Conference paper,Scopus,LLM,Generative AI,Model synthesis and refinement,System modeling,Model Construction,Model Generation,Other£¨Medical£©
"Johns B., Carroll K., Medina C., Lewark R., Walliser J.",AI Systems Modeling Enhancer (AI-SME): Initial Investigations into a ChatGPT-enabled MBSE Modeling Assistant,2024,INCOSE International Symposium,"As artificial intelligence (AI) becomes integral across industries, there is a growing opportunity to transform the generation of models for systems engineering. This research investigates the integration of OpenAI's GPT-4 Turbo into CATIA Magic for Model-Based Systems Engineering (MBSE), resulting in the creation of AI Systems Modeling Enhancer (AI-SME). This study explores the comparison between models generated by AI, specifically OpenAI's GPT, and those crafted by human systems engineers. While recognizing challenges in AI-generated models, this research underscores the potential of AI assistants to enhance the speed and accuracy of SysML model creation. Results demonstrate AI-SME's successes in generating requirements, block definition diagrams, and internal block diagrams. Despite identified limitations such as redundancy and lack of cohesiveness in AI-generated models, the study concludes that AI-SME represents a notable advancement in AI-assisted systems engineering.",Artificial Intelligence; AI-integration; ChatGPT; MBSE; SysML; Systems Modeling; Modeling Assistant,"United States Air Force AcademyColorado Springs, CO USA£¬casey.medina@studiose.design",United States,INCOSE-International Council on Systems Engineering,Conference paper,Wiley,LLM,Generative AI,Model synthesis and refinement,System modeling,Model Construction,Model Generation,Aerospace£¨Spacecraft£©
Apvrille L.; Sultan B.,System Architects Are not Alone Anymore: Automatic System Modeling with AI,2024,International Conference on Model-Driven Engineering and Software Development,"System development cycles typically follow a V-cycle, where modelers first analyze a system specification before proposing its design. When utilizing SysML, this process predominantly involves transforming natural language (the system specification) into various structural and behavioral views employing SysML diagrams. With their proficiency in interpreting natural text and generating results in predetermined formats, Large Language Models (LLMs) could assist such development cycles. This paper introduces a framework where LLMs can be leveraged to automatically construct both structural and behavioral SysML diagrams from system specifications. Through multiple examples, the paper underscores the potential utility of LLMs in this context, highlighting the necessity for feeding these models with a well-defined knowledge base and an automated feedback loop for better outcomes. ? 2024 by SCITEPRESS ¨C Science and Technology Publications, Lda.",Analysis; Artificial Intelligence; Design; LLM; Modeling; Verification,"LTCI, T?el?ecom Paris, IP Paris, 450 route des Chappes, Sophia-Antipolis, France {ludovic.apvrille,bastien.sultan}@telecom-paris.fr",France,SciTePress,Conference paper,Scopus,LLM,Generative AI,Model synthesis and refinement,System modeling,Model Construction,Model Generation,Product
Alarcia R.M.G.; Russo P.; Renga A.; Golkar A.,Bringing Systems Engineering Models to Large Language Models: An Integration of OPM with an LLM for Design Assistants,2024,International Conference on Model-Driven Engineering and Software Development,"Although showing remarkable zero-shot and few-shot capabilities across a wide variety of tasks, Large Language Models (LLMs) are still not mature enough for off-the-shelf use in engineering design tasks. Organizations implementing model-based systems engineering practices into their product development processes can leverage on ontologies, models, and procedures to enhance LLMs applied to engineering design tasks. We present a methodology to integrate an Object-Process Methodology model of a space system into an LLMbased spacecraft design assistant and show a performance improvement, as compared to a conventional LLM. The benchmark is evaluated through subjective expert-assessed and an objective cosine-similarity-based criteria. The results motivate additional efforts in integrating Model-Based Systems Engineering practice into LLMs as means to improve their performance and reduce shortcomings such as hallucinations and black-box, untraceable behavior. ? 2024 by SCITEPRESS ¨C Science and Technology Publications, Lda.",Design Assistant; Engineering Design; LLM; MBSE; Object-Process Methodology; Systems Engineering,"Department of Aerospace and Geodesy, Technical University of Munich, Ottobrunn, Germany",Germany,SciTePress,Conference paper,Scopus,LLM,Generative AI,Interactive assistance,System modeling,Model Interpretation,Model Semantic Understanding,Aerospace£¨Spacecraft£©
Bader E.; Vereno D.; Neureiter C.,Facilitating User-Centric Model-Based Systems Engineering Using Generative AI,2024,International Conference on Model-Driven Engineering and Software Development,"The increasing complexity of cyber-physical systems requires model-based systems engineering (MBSE) in an effort to sustain a comprehensive oversight. However, broader adaptation of these models requires specialized knowledge and training. In order to make this process more user-friendly, the concept of user-centric systems engineering emerged. Artificial intelligence (AI) could help users overcome beginner hurdles and leverage their contribution quality. This research investigates the feasibility of a large language model in the systems engineering context, with a particular emphasis on the identification of potential obstacles for similar tasks. Therefore, a GPT model is trained on a dataset consisting of UML component diagram elements. In conclusion, the promising results of this research justify utilizing AI in MBSE. Complex relationships between the UML elements were not only understood, they were also generated using natural-language text. Problems arise from the extensive nature of the XMI, the context limitation and the unique identifiers of the UML elements. The fine-tuning process enabled the LLM to gain valuable insights into UML modeling while transferring their base knowledge, which is a promising step toward reducing complexity in MBSE. ? 2024 by SCITEPRESS ¨C Science and Technology Publications, Lda.",Artificial Intelligence; Cyber-Physical Systems; GPT; LLM; UML,"Josef Ressel Centre for Dependable System-of-Systems Engineering, Salzburg University of Applied Sciences, Urstein S¡§ud 1, 5412 Puch/Salzburg, Australia",Australia,SciTePress,Conference paper,Scopus,LLM,Generative AI,Model synthesis and refinement,System modeling,Model Construction,Model Generation,Other£¨CPS£©
Alshareef A.; Keller N.; Carbo P.; Zeigler B.P.,Generative AI with?Modeling and?Simulation of?Activity and?Flow-Based Diagrams,2024,International Conference on Simulation Tools and Techniques,"In systems engineering and model-based design, the complexity and interrelationships across different system elements always demand continuous elaboration and expansion in various overlapping domains. We examine how such a phenomenon can be assisted with generative AI and benefit from large language models (LLMs), such as GPT-4. We demonstrate ways of incorporating generated text and outputs from LLMs into the modeling process. The approach can customize the GPT-4 model with an activity metamodel specified in Eclipse Ecore or predefined activity diagrams encoded in a textual format for learning from instances. Alternatively, the descriptive text from the LLM can be provided as input to a parser, resulting in an activity that can be readily transformed into a discrete event system specification (DEVS) model with simulation capability. We will discuss how the process can be enhanced in a simulation environment, thus offering the opportunity to examine a variety of scenarios and arguments for incorporating generative AI or general AI as a collaborative agent in the domain of interest. One scenario could begin with a simplified text describing a generic process, yielding an approximate representation as a starting point for further elaboration by modelers to a complex specification through a systematic, guided, and well-defined framework. We demonstrate the approach with activity and flow-based diagrams in a manner applicable to SysML, UML, and systems engineering at large. ? ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2024.",Activity Diagram; DEVS; Ecore; Generative AI; SysML; Systems Engineering; UML,"A. Alshareef; Department of Information Systems, College of Computer and Information Sciences, King Saud University, Riyadh, 11543, Saudi Arabia; email: ashareef@ksu.edu.sa",Saudi Arabia,Springer,Conference paper,Scopus,LLM,Generative AI,Model synthesis and refinement,System modeling,Model Construction,Model Generation,Other
Zhang J.; Yang S.,Recommendations for the Model-Based Systems Engineering Modeling Process Based on the SysML Model and Domain Knowledge,2024,Applied Sciences,"Model-based systems engineering (MBSE) is a modeling approach used in industry to support the formalization, analysis, design, checking and verification of systems. In MBSE modeling, domain knowledge is the basis of the modeling. However, modeling does not happen overnight; it requires systematic training and a significant investment of resources. Unfortunately, many domain experts lack the expertise required for modeling, even though they know the domain well. The question arises about how to provide system modelers with domain knowledge at the right time to support the efficient completion of modeling. Since MBSE research that integrates AI is just beginning to take off, no public dataset is available. In this paper, aerospace SysML models are constructed based on spacecraft-related domain knowledge to form SysML model data. The validation rules are studied to validate the SysML model data, and combined with the concept of the recommended system, a recommendation method for the MBSE modeling process based on the knowledge and SysML model is proposed. A GLOVE language model is pre-trained by using domain knowledge and general knowledge; the model data are also used to fine-tune the GLOVE language model combined with the pre-training to recommend some domain development processes. The recommendation list is manually quality-verified and fed into the pre-training phase, while new requirement texts are continuously added in the fine-tuning phase, resulting in a more relevant and accurate recommendation list. Experiments show that the incremental recommender system can not only effectively recommend SysML models, but also improve the quality and efficiency of MBSE development. ? 2024 by the authors.",domain modeling; MBSE; NLP; recommendation,"S. Yang; College of Electronic and Electrical Engineering, Shanghai University of Engineering Science, Shanghai, 201620, China; email: shqyang@sues.edu.cn",China,MDPI,Article,Scopus,NLP,Data-driven,Representation and embedding,System modeling,Model Interpretation,Model Recommendation,Aerospace£¨Spacecraft£©
Akundi A.; Ontiveros J.; Luna S.,Text-to-Model Transformation: Natural Language-Based Model Generation Framework,2024,Systems,"System modeling language (SysML) diagrams generated manually by system modelers can sometimes be prone to errors, which are time-consuming and introduce subjectivity. Natural language processing (NLP) techniques and tools to create SysML diagrams can aid in improving software and systems design processes. Though NLP effectively extracts and analyzes raw text data, such as text-based requirement documents, to assist in design specification, natural language, inherent complexity, and variability pose challenges in accurately interpreting the data. In this paper, we explore the integration of NLP with SysML to automate the generation of system models from input textual requirements. We propose a model generation framework leveraging Python and the spaCy NLP library to process text input and generate class/block definition diagrams using PlantUML for visual representation. The intent of this framework is to aid in reducing the manual effort in creating SysML v1.6 diagrams¡ªclass/block definition diagrams in this case. We evaluate the effectiveness of the framework using precision and recall measures. The contribution of this paper to the systems modeling domain is two-fold. First, a review and analysis of natural language processing techniques for the automated generation of SysML diagrams are provided. Second, a framework to automatically extract textual relationships tailored for generating a class diagram/block diagram that contains the classes/blocks, their relationships, methods, and attributes is presented. ? 2024 by the authors.",block definition; class diagram; machine learning; MBSE; SysML; system model; systems architecture; system design,"A. Akundi; Industrial and Manufacturing Engineering Department, College of Engineering and Applied Sciences, University of Wisconsin Milwaukee, Milwaukee, 53211, United States; email: akundivy@uwm.edu",United States,MDPI,Article,Scopus,NLP,Data-driven,Text-to-model transformation,System modeling,Model Construction,Model Generation,Aerospace£¨UAV£©
Wang J.; Wang X.; Dong S.,Construction of MBSE-based Smart Beam Yard System,2024,International Society for Optical Engineering,"The wave of Industry 4.0 drives the development of intelligent manufacturing. A modern precast girder yard is a complex system that collects multiple elements such as intelligent sensing equipment, construction personnel, facility instruments, and data processing platforms, etc. The existing management platform has problems such as scattered management processes, poor integration, and poor delivery efficiency, etc. How to promote the interaction and collaboration of complex systems and increase the yield of precast girder yards is the current challenge for enterprises and researchers. This paper adopts a model-based system engineering approach to model the system requirements, system environment, system architecture, subsystem interactions and functions of the smart girder yard, and combines digital twin technology to build a digital twin of the physical girder yard, thus realizing visualization of girder yard production, construction simulation and intelligent scheduling decisions. Through system verification, the application of the smart girder yard system reduces the interference of human factors in the production schedule of the girder yard, improves the production efficiency, and meets the requirements of digital control of all elements of the production schedule. ? 2024 SPIE.",Digital Twin; MBSE; Precast beam yard; Smart Manufacturing,"S. Dong; College of transport Engineering, Chang'an University, Xi'an, 710064, China; email: 2522401050@qq.com",China,SPIE,Conference paper,Scopus,DT,Simulation-related,Simulation execution and orchestration,Simulation and visualization,Simulation,Simulation Execution Control,Construction
Oberhauser R.,VR-SDLC: A Context-Enhanced Life Cycle Visualization of Software-or-Systems Development in Virtual Reality,2024,International Symposium on Business Modeling and Software Design,"As systems grow in complexity, so does their associated lifecycle and with it the need to manage the various elements, relations, and activities involved in the Software (or Systems) Development Life Cycle (SDLC). Various notations for system, software, or process modeling have been specified, such as the Systems Modeling Language (SysML), Unified Modeling Language (UML), and Business Process Model and Notation (BPMN) respectively, yet due to their target system and two-dimensional (2D) diagram focus, they are ill suited for visualizing a comprehensive contextualized view of the entire systems engineering or software engineering lifecycle. To address lifecycle modeling, the Lifecycle Modeling Language (LML) utilizes a relatively simple ontology and three primary diagrams while supporting extensibility. Yet lifecycle comprehension, analysis, collaboration, and contextual insights remain constrained by current 2D limitations. This paper contributes our Virtual Reality (VR) solution concept VR-SDLC for contextualized holistic visualization of SDLC elements, relations, and diagrams. Our prototype implementation utilizing LML demonstrates its feasibility, while a case study exhibits its potential. ? The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",Lifecycle Modeling Language; Software Development Life Cycle; Software Engineering; Systems Engineering; Systems Lifecycle; Systems Modeling; Virtual Reality; Visualization,"R. Oberhauser; Computer Science Department, Aalen University, Aalen, Germany; email: roy.oberhauser@hs-aalen.de",Germany,Springer,Conference paper,Scopus,VR,Simulation-related,Immersive interaction and exploration,Simulation and visualization,Visualization,Lifecycle Visualization,Vehicle
Bouhali I.; Idasiak V.; Martinez J.; Mhenni F.; Choley J.-Y.; Palladino L.; Kratz F.,A Collaboration Framework Using Digital Twin for Dynamic Simulation and Requirements Verification Based on MBSE and the MIC Concept,2024,Annual IEEE International Systems Conference,"Thanks to their clarity, the use of system models is increasingly widespread in industry, providing engineers with the means of traceability, and reducing ambiguities. Systems engineers use an MBSE (Model-Based System Engineering) approach to describe different views of a system (requirements, operational view, functional view, behavioral view, logical and physical architecture views). The system model is useful to design the system architecture in either a static or a dynamic perspective. The first step in systems engineering is the requirements specification. This is an important step in the development phase, since the system must satisfy the defined requirements (functional and physical), to be able to choose the right architecture solution. Many trade-off methods exist: in some cases, it is sufficient to use parametric diagrams to calculate the system performances based on the functional causality of the system, and to execute simulations in the system modeler tool. However, there are some performances that need a more complex dynamic model requiring, for instance, differential equations, as well as a suitable solver, in a dedicated simulation tool, especially when the system is a complex mechatronic system, that needs multiphysics simulation. Many industries have adopted the digital twin (DT) concept in their activities, because of its fidelity and precision. It is highly recommended to use DT models during the early phases of development in order to verify system requirements, with a view to reducing development costs [18]. It is then necessary to ensure digital thread between system models and DT simulation models. To address these issues, this paper presents a collaboration methodology between simulation engineers and system engineers. The aim is to achieve earlier requirements verification and trade-off decisions. In order to fulfill these objectives, it is necessary to ensure the traceability of models changes and to reduce the probability of miss-understandings. For this reason, the MIC (Model Identity Card) concept is used in the proposed methodology.  ? 2024 IEEE.",Digital Twin; MBSE; Mechatronic; MIC; Requirements; Simulation; Verification,"I. Bouhali; Safran Seats, Systems Engineering Dept, Issoudun, France; email: imane.bouhali@safrangroup.com",France,IEEE,Conference paper,Scopus,DT,Simulation-related,State synchronization and coupling,Verification and validation,Verification Execution,Early Automated Verification,Mechatronics
Badenko V.; Yadykin V.; Kamsky V.; Mohireva A.; Bezborodov A.; Melekhin E.; Sokolov N.,Method for Developing the System Architecture of Existing Industrial Objects for Digital Representation Tasks,2024,Systems,"This paper presents a method for creating the system architecture of existing industrial objects based on Model-Based Systems Engineering (MBSE) principles. The method aims to form a digital representation of physical objects, which is crucial in the digital transformation of industrial enterprises. It allows for the accurate reflection of all components, processes, functions, and interrelationships within an object. The methodology includes stages of data collection, structuring, development of ontological models, and the integration of a comprehensive system architecture into the digital space. This method was tested using a small hydroelectric power plant, revealing its key advantages and disadvantages and identifying areas for further improvement. The main findings indicate a significant improvement in understanding the system architecture for scenario modeling and digital operation of the objects. Despite challenges such as the need for multiple iterations and high data requirements, the methodology demonstrates the potential for applying MBSE in the digital transformation of existing industrial objects. ? 2024 by the authors.",complex technical system; digital representation; digital transformation; digital twin; life cycle; MBSE; system of systems,"A. Mohireva; Manufacturing Processes Simulation and Power Equipment Design Laboratory, World-Class Research Center for Advanced Digital Technologies, Peter the Great St. Petersburg Polytechnic University, St. Petersburg, 195251, Russian Federation; email: mohireva.ao@edu.spbstu.ru",Russian Federation,MDPI,Article,Scopus,DT+Ontology,\,\,Verification and validation,\,\,Industry
Gregory J.; Salado A.,A Semantic Approach to Spacecraft Verification Planning Using Bayesian Networks,2024,IEEE Aerospace Conference Proceedings,"The design and execution of an effective spacecraft verification strategy is a critical and complex undertaking. It necessitates the generation and management of a large amount of highly connected data. As a result, verification activities consume a significant part, if not the biggest part, of the development costs of large-scale engineered systems. Current document-based approaches to verification planning and assessment are inefficient, prone to inconsistencies, and unable to quantitatively inform about the confidence level on the verification status of the system of interest. A Digital Engineering (DE) approach to verification planning and assessment can overcome these weaknesses. To achieve this, data integration and management technologies are crucial. Semantic Web Technologies (SWTs) provide a means to structure knowledge, validate knowledge, and infer new knowledge using ontologies, reasoners, and query languages. In this paper, we present a Bayesian approach to planning verification strategies supported by the Bayesian Verification Ontology Stack (BVOS). The BVOS is a modular ontology stack that supports a semantic approach to DE. The ontologies it comprises are constructed using the Ontological Modeling Language (OML). The BVOS leverages existing ontologies such as the Basic Formal Ontology (BFO) and the Common Core Ontologies (CCO) to support the required domain-level ontologies such as the System Architecture Ontology and the Bayesian Network Ontology. To evaluate this approach, it has been applied to the Attitude Determination and Control Subsystem (ADCS) of a notional spacecraft and its verification strategy. The ADCS requirements are captured in Jama Connect. The physical architecture of the ADCS and the corresponding verification strategy are modeled using the Systems Modeling Language (SysML) v2. A representative OML knowledge graph that captures the entire dataset is produced and validated using the BVOS, and is used to generate a Bayesian representation of the verification strategy. ? 2024 IEEE.",\,"J. Gregory; The University of Arizona, Department of Systems and Industrial Engineering, Tucson, United States; email: joegregory@arizona.edu",United States,IEEE,Conference paper,Scopus,KG+ML+Ontology,Knowledge-driven,Logical reasoning and inference,Verification and validation,Verification Process Management,Verification Planning,Aerospace£¨Spacecraft£©
